Sentence,ID,Test,Cond,human_coding
I watched Euphoria in the background while doing my homework.,A1N274L13ZKKI5,1.0,2,0
His Haitian culture is extremely important to him.,A3NG205QJ48IM4,1.0,1,0
Celebrity culture is overrated.,A2I6YPPQK6BU09,1.0,1,0
Cancel culture is dangerous to society. ,A1H4MYPDJ2K3VI,2.0,1,0
The Maori was happy to perform the hakka dance. ,A15B294KHVGPFV,1.0,2,0
I love your hair style ,A3774HPOUKYTX7,1.0,1,0
We are studying about culture in school this week.,ARTARDCXLJ5H6,2.0,2,0
The art museum is nice.,A2RCUR9HJ9D0UQ,1.0,2,0
John loved learning about Asian culture.,AO9AKYPPGGGZ4,2.0,1,0
I am going to chair the culture committee,ADIW4L4IGU98R,1.0,1,0
I participate in my culture of celebrating St. Patrick Day.,A34IZFOSHOZ4GN,1.0,1,0
Tom toured the new museum. ,A11ILN5YSUDVG8,1.0,1,0
Ben family was not very accepting of the cultural differences presented by his new girlfriend.,A13CFYL1AW272Y,1.0,2,0
The American was impressed by the vibrant Colombian culture.,AAFM5PPF9P0W,1.0,2,1
Cancel culture toxic. ,A20P819KPQWCK0,1.0,1,0
Culture is about the people more so than the traditions.,A2OKJSKQFMCZTP,1.0,2,0
I wish i had asked more questions to my grandmother about our culture.,AM0FRMVODTMXA,1.0,1,0
I am going the Culture fair today. ,A2WSYQ5TS09U1,1.0,1,0
I bow when greeting my elders. ,A1FAQI8VXLAMBM,2.0,1,0
My culture tells me about where I am from.,A3C9B757QTE20C,2.0,1,0
Culture can mean lot to people.,AK70USZXEJSF3,2.0,2,0
I love to integrate myself in other cultures.,A3BWZ6V34W8SXX,2.0,1,0
"Comic book art used to be looked down upon, but it is now seen as viable art form. ",A3U6RDG7BLH6YZ,2.0,1,1
My thoughts about today culture isn popular.,A2HUWXLMG214BI,2.0,2,0
The father was proud oh his sons eagerness to learn their native language.,A16DIQCMNWPBAN,2.0,2,0
I want to see the new African Art exhibit and the museum. ,A357ADRGNGMMKC,1.0,1,0
Their culture is very colorful.,A3V2HVY764HJS4,2.0,1,0
Many cultures are appropriated by white people ,A2W5PAZJG6X8Q8,2.0,2,1
"In culture many people enjoy their food, dance, and customs of their ancestors. ",A118RTS8BOFIH7,1.0,1,0
The movie was made hit by the actors.,A31CNXHGR49DJR,1.0,2,1
Culture is passed down,A3OM2ZQ7FUDTIN,1.0,1,1
"The society had such rich culture, there was much to learn of them.",A3PSV85ZUXP9VF,2.0,2,0
I did not know about the sneaker culture around my school. ,A3G11HOZ5PCWOH,2.0,2,0
Culture is the way we know how to act in public. ,A33ELVLU0NX9N9,1.0,1,0
The Aztecs ruled Mesoamerica.,A2W434UNNBRS4L,1.0,2,0
there is cultural difference beet week different people,A2EW08X2I87RXL,2.0,1,0
The gallery opening was attended by many important figures.,AHTWQSOY6HTJI,1.0,2,1
"When we went to Puerto Rico, the culture was beautiful.",A16Y5JEB1EF9CY,1.0,2,0
"Culture is best ignored, maybe.",A3M0L33TPD346S,2.0,2,1
My favorite celebrity spoke out against racism last week.,AY4KZOUEZ8BAM,1.0,1,0
Culture both divides and unites people.,A14Z1JSAR9JEON,1.0,2,0
"Cultures, comes in many color shapes and sizes.",A3M2Q7EZCJ85GE,2.0,2,0
We need to do more about different culture.,A36W1PIV68AE5K,2.0,2,0
I eat Kimchi since it is part of my Korean culture.,ANR81FZBHHR0F,1.0,1,0
The girls culture was forgotten about.,A2UOOBZQ5L2EL1,2.0,2,1
Our differences in culture is perhaps what I find most interesting.,j2wj0096lt,2.0,1,0
I love how this cuisine tastes ,A3NUGUAMBKYMZY,1.0,1,0
Culture makes up our characters.,A33TBDS0UALKW2,1.0,1,0
The weekend was improved by the opening of the museum.,A2BT7QVGXJKFKI,1.0,2,1
Jill studies modern art at the local college.,A39J8MSTUDVH0D,1.0,1,0
Culture is the core of our society.,A15X9KAJB8M54B,2.0,2,0
The woke culture is hilarious.,A1CRE2Z623JZ6V,2.0,1,0
Television has become more diverse in 2020.,A3H8A6SSZH6MQQ,2.0,2,0
Culture was the main drive of the museum visit.,A2137K4XEU12TI,1.0,2,0
Having an expressive personality is part of LGBTQ culture.,AMFIHFK9N0OVK,2.0,1,0
I love studying different cultures.,A1JAWNX4R60ZZ0,1.0,1,0
I celebrate Christmas with my family.,A1MPJYJCUAOFOB,1.0,1,0
I hear very little about culture.,A3HT6YYXPBRKN3,2.0,2,0
My culture needs to work together to improve so that we can acheive.,A3V9UGWBPDRFSG,1.0,1,0
careers revolve around persons culture.,A1ZJ3TU4QJIKLY,2.0,2,0
learning about different cultures is interesting.,A129LL7SYP8EOE,2.0,1,0
Cultural studies will always be considered an important part of liberal arts education.,A2VUF0V7HT51Q3,1.0,2,1
I did not check on anything about my culture.,A3IB7YJHP04OHI,2.0,2,0
I love to learn about different cultures.,A13DHPKBQXN9R7,2.0,1,0
I do not know much about pop culture.,A1B3K5W6NZ03U2,1.0,1,0
"The movie was watched by 3,000 people.",A29KJK7GPUF3OT,1.0,2,1
The festival is scheduled for next week.,A26A77APE2SUR5,2.0,2,1
The work culture at Google is very relaxed.,A8BSFVAPZBIUS ,1.0,1,0
I want to know how to make sushi ,A1ADRYNCJIRFOO,1.0,1,0
The traditional dance was performed by the women in the group.,A1PAN54I7HWSZI,1.0,2,1
The culture is changing at breakneck speed ,AS8JG1LSWTMGY,2.0,2,0
Great Britain culture is overdue for change.,A25D8WXH1F4CG9,1.0,1,0
My culture revolves around my Italian upbringing. ,A1TK1M16KJJKEO,1.0,2,0
Leah loved to learn of her culture as time went on.,A1282WX3YWXM6E,2.0,1,0
CONCERTS ARE A FUN THING TO DO ON THE WEEKENDS,A3SUUPLFBSG1T9,1.0,1,0
Culture was changed by altering the story.,A2T6EBB0Z6TQZS  ,1.0,2,1
The young girls sighed as they were tired from dancing on Tik Tok. ,A3G1X3IP2VM4IK,2.0,2,0
Her culture was known to celebrate on that day.,A1KRDCZ1YYBUIZ,1.0,1,1
We were interested in the Asian exhibits. ,A1X84CLJ7N1PLZ,1.0,2,0
Choose your culture wisely.,A141B3S3ZLY8DI,2.0,2,0
The culture dictates the rules.,A1BDJMFP24FBGL,1.0,1,0
the show told me about culture,A3F34OE3VQ7W0V,1.0,2,0
Minority cultures assimilate into the dominant culture over time.,A2BQ5JORLYGZMV,2.0,2,0
We are celebrating Christmas ,A3ONF400XL2Y9U,1.0,1,0
Downtown is full of culture.,A2HDZE2L9EX2SY,1.0,1,0
Americans are mindconrolled by NBA,A2EY0J9LOPU3TU,1.0,2,1
Pop culture is unimportant in the grand scheme of things.,A20SXG1DHDIDI7,1.0,1,0
The culture exhibit was victimized by vandalism,A2Y81T0DIFJ866,1.0,2,1
I really enjoy embracing my culture and uplifting those who do as well ,A2MF4QDKE40KVN,1.0,1,0
we all have different cultures,A7Z6P6K85HX54,1.0,2,0
Culture varies across our country.,A2PY9UB56M2PP2,1.0,1,0
American culture is in decline. ,A2JUTTLDE5LGHH,1.0,2,0
The french has an unique culture,A2F58OOW7K3DD2,1.0,1,0
It was in Marvin culture to celebrate different holiday.,A1QW2XUJ7KZCV5,2.0,2,0
They just always do things the wrong way. ,A3G3TIX6FEMN8R,2.0,2,0
Cats don like to eat asparagus.,A2DDPSXH2X96RF,1.0,1,0
I love the culture,A2BZY06YRWGEDL,2.0,1,0
The trend was popular among teens.,A1C8FN01981A69,2.0,2,0
 Chinese is sub-category of Asian.,A2DU76P3SED4T6,2.0,1,0
I wanted to be at the top of culture,AYSX5GNO640MZ,1.0,1,0
I made my mother famous Italian dish for my friends.,A2R30HQXQN76IC,1.0,1,0
Some say culture is dead in the 21st century.,AMDUEMZUK9GJC,1.0,1,0
The walls were covered in vibrant grafitti.,A2WS07SCLNP1GV,1.0,2,1
Culture has become very large separator among society today. ,A3V3LIPOU53GZQ,2.0,2,0
I ve never been to Safari before.,AQDA6OMC4W5V8,1.0,2,0
Billy has learned lot about his culture.,A1K3VCFF62LIO2,2.0,1,0
Culture plays huge role in how we see ourselves.,A2AFAWJX5LTUVN,2.0,1,0
The new rock band is going to be touring soon.,AW8JVJQNLTXND,2.0,1,0
Observing culture is important in society.,A26ZENZ5G8AEGM,1.0,1,0
The character of nation is reflected by its culture.,A3Q9H7A8J8GR01,1.0,2,1
The natives had culture that recognized adulthood at age 12. ,A2SULQE4M8C3CM,2.0,2,0
Culture shapes relationships amongst people.,A2LDDDJ4WBKB8Y,1.0,1,0
The Mayan culture is very interesting topic to read,A2VJ27EN5W4MU,1.0,2,0
She is learning about the culture.,A1SBWRAOJBEFIM,1.0,1,0
CULTURE BUILT EVERY TRADITION IN A COMMUNITY.,A12JQZP4XVOABB,2.0,2,0
I attend cultural show,AE5138F868GYB,1.0,1,0
I believe culture is benefit to society.,AY2L2CZ6OKNEA,2.0,1,0
Cheeseburgers are eaten by Americans.,A2S7LNJG767XIU,1.0,2,1
"To Dalton, the meaning of culture includes language, arts, cuisine, music, social habits and religions.",A370S3V5OUNP4E,1.0,1,0
He was going to date outside of his culture.,A2ZKKOPPN3AX2G,1.0,2,0
Culture today is out of hand.,AH7I3K3OJKA5L,2.0,1,0
Teens love alternative music.,A5BCSSPC180AG,2.0,2,0
The culture of the country is not inviting.,A1TO9C7AZND1VO,1.0,1,0
I wonder about her culture.,AE0C5U5HZ7WR9,2.0,2,0
I teach American Culture at junior college in my state.,A1D4RC6K6Y5KAV,2.0,1,0
I am celebrating Christmas with my family because I grew up in the western culture.,A345TDMHP3DQ3G,1.0,1,0
Their culture was hard to discover ,A1U5UPSCURNRAA,2.0,2,0
It is very important to learn about Culture.,A18UTX5FD7NPRV,2.0,1,0
There had been great deal of hand wringing about the decline in our culture. ,A3T79IEUFBB473,2.0,2,0
Music effects everyone.,A3HKD5JYXYBK5Q,1.0,1,0
Cultures are part of yogurt.,A3MSMV01T3S53S,2.0,1,0
I loved experiencing the Italian culture when I was there.,A2JAE9P7FQXU2T,2.0,2,0
Everyone has different and exciting culture.,A23K77HMD9APAJ,1.0,1,0
Culture gives unique personality to many countries. ,A322UHGPRL2UWO,2.0,1,0
The Mayan beliefe were of future that would end in 2012.,A1EDKVYT9ZCGUH,2.0,2,0
I come from long line of Irish Heritage.,A3CX8S6Q0QEW8E,1.0,1,0
The culture was already discussed in the book.,AYX9OCFWBM939,2.0,2,1
They had gone to temple to learn about her culture.,A1HNB2243A2PQH,2.0,2,0
Culture has always been an interesting topic to study.,A1Y38T7IZWJQAE,2.0,2,0
The business was made slow by the pandemic.,A3ATU3VULAB7K2,2.0,2,1
I want new business card.,A1CTJ8UT7SF317,1.0,1,0
I don know much about business.,A327Q0Y175MEH7,1.0,1,0
The store owner had to close for the winter.,A19TD2J8506A4Y,1.0,2,0
The CEO has just reviewed the financial statements.,A2DDXYTEVDV5F5,1.0,1,0
I wish the stocks would go up. ,AJ9O2ZA0E8UDZ,2.0,2,0
They invested wisely.,AYXXMHLZRAPF9,1.0,1,0
Business is in shambles right now.,A3M0L33TPD346S,1.0,1,0
The boom in the economy was led by business.,A33GB614ST7J82,1.0,2,1
 The company worked hard to be the top in their field., COPIEDAKHKMEPXX1YZ9,2.0,1,0
Profits increased this fiscal year.,A23273YME4RCEB,1.0,1,0
The business was fined for operating without license.,A3O4WYGKH31OX,1.0,2,1
The entire meal was paid for by my boss.,A3NLSGHK6RFXA8,1.0,2,1
Joe attended the business meeting.,AOJF7CPZVK5U3,1.0,1,0
The stock market was paid attention to.,A154ZJKRSX6847,1.0,2,1
Business interests are regulated by the federal government.,A3FXVNZ5VG98IP,1.0,2,1
I started my own small business when I was very young.,AYXN53TNFG71P,1.0,1,0
The meeting was rescheduled for tomorrow. ,AMUKX1DM4ASA7,1.0,2,1
China is great place to travel to.,AFE7E450NETF2,1.0,1,0
BUSINESS MEN NOT FINE ALL THE TIME. ,A2DLZ9PK82J8L2,1.0,1,0
Business is cut throat sport. ,ARON01UO1YK7I,2.0,2,0
Local retail stores are great convenience. ,A3RNGN5WLE1OBU,1.0,1,0
I wish I was able to get more money at the bank.,A1ZZETG57T5D5X,2.0,2,0
Business is very interesting ,A2Z75NJBZ46RE9,1.0,1,0
Big Business was sued by the government.,A1CI5U3BLQ2DDS,1.0,2,1
 Business is good for the economy. ,A1CI5U3BLQ2DDS ,1.0,1,0
The salesperson demonstrated his company products in meeting. ,ATSNZCC16HIOI,1.0,1,0
I want to own business ,A1SWGSFIMZJQE,2.0,2,0
Business is very broad category. ,A33UZLF8WW0DV1,2.0,2,0
Schedule all orientation meetings today before leaving the office.,A39GP79ULCP9J2,1.0,1,0
Business was good.,A2X5BYJKVKSYQQ,1.0,1,0
She didn know how to organize the business ,A12S5JDG2D5HEW,2.0,2,0
I am buying stock today.,A1FAQI8VXLAMBM,2.0,1,0
The award was won by the top business.,A3P1QF00PF2DF9,1.0,2,1
I am looking for business to start up.,A16ZLWV0QUJP65,2.0,1,0
Purdue Pharma settled the lawsuit with billions of dollars.,AOJD8D9NXVAR3,1.0,1,0
That business has been closed for awhile.,A1ZLWV0QUJP65,2.0,2,1
Jamal is fantastic business man. ,AAL5LUI5U3NAV,1.0,1,0
Her business is of no concern of mine. ,A1TK1M16KJJKEO,1.0,2,0
I work for large business,A79XOBCSS4NTG,1.0,1,0
Business is hard.,A2O3IWIVOZD4S7,1.0,1,0
Business is major at most colleges and universities.,A2SVKAI2PNTS79,2.0,2,0
I closed this business.,A2O3IWIVOZD4S7,1.0,1,0
The business was shown new idea.,A2VNR6984SDFGQ,1.0,2,1
The market was down. ,A3CLBF224TRYC9,1.0,2,0
The girl entered the business located on Main Street.,A8TLS2F8LFQ68,1.0,1,0
The business is open today. ,AIJPLVW0ULYTH,2.0,1,0
I sure hadn wanted to visit that apple store since it was so busy.,A3CX0LXFHZ6I3I,1.0,2,0
I ll start my business in the next few weeks.,A2LEBJWW395FST,1.0,1,0
The fundraiser for the business brought in lot of money.,AFTSLCMJASJDR,1.0,2,0
Her background was in Business,AA0EJ752F121Q,2.0,2,0
The Business closed its doors promptly at 5pm.,A2VN0R4EGGV7KE,2.0,1,0
I went to work today and it was long day.,AJKA9BKC011F2,2.0,1,0
My family business is affected by the pandemic. ,A2X823PACMMOKP,1.0,1,1
I am leaving this business.,ALG1XBLARJ545,1.0,2,0
The business was robbed during the night.,A2SKOPFTRTNFUY,1.0,2,1
Dressing up is required to attend meeting.,A347NXF6NQGM5G,1.0,2,0
The business is doing well,AFRKVRPZ2RHY8,1.0,2,0
I am taking Business course and enjoying all that I am learning.,A2OZKKX2O0YTLD,2.0,1,0
I called them and got the sale ,A240OTT1T85UGT,1.0,1,0
My contributions to the business were not recognized by my father. ,A55E4CZQLYYO3,2.0,2,1
The accountant met with the lawyer.,A3QNSOORS63W0D,2.0,1,0
Business creates opportunity.,A63XZD0XGIMAI,1.0,1,0
Long lunches are often taken when having business meetings.,A2ONKY3JGB34T3,1.0,2,1
The CEO made all final decisions for the company.,AOJD8D9NXVAR3,1.0,1,0
Business grows with society.,A33B85TN97HQ33,1.0,1,0
Sprint was bought out by T-Mobile.,A3J72C0SIACZBS,1.0,2,1
Is is expected that business will be good this year.,AW3PWVBIGPNAA,1.0,2,1
The business is thriving.,AC95JAUAM2L2Z,1.0,1,0
There no business like show business.,AFE7E450NETF2,1.0,2,0
I am into business,AXR1QGU4KTMSZ,1.0,1,0
The company was involved in community service.,COPIEDAKHKMEPXX1YZ9,2.0,2,0
Business is booming,AOZBPO12UMPUY,1.0,1,0
Business is booming ,A1JSPB0XCFUUG1,2.0,1,0
The accountant was fired.,A2VAG94W4SK18C,1.0,2,1
Business is no fun but it worth it.,A2GIT09BQEUM9M,,1,0
Business was taken over. ,A162CO8K267FU8,1.0,2,1
I keep track of my own orders. ,A3S9ASZKIIJ3WF,2.0,1,0
Business makes the world go round.,A3JUAN2Y9XTK5L,2.0,1,0
He opened the business 10 years ago.,A23FK9ROU01U4D,2.0,2,0
The business is not doing well,A79XOBCSS4NTG,1.0,2,0
The firm was able to make ton of money this quarter. ,AU34Y1DWWQ47O,1.0,1,0
i owned my business,A2TWX0MB777CAB,2.0,2,0
Business can be very challenging at times.,A1HYNGG8LZUV47,2.0,1,0
The business did not meet the state protocols to remain operational.,AQDBBBTN8NE9X,2.0,2,0
Business was boring subject.,A36G7I51D5O1M4,2.0,2,0
His business suffered due to the economy.,COPIEDAPV3GK8ZEXB0J,1.0,1,0
I take many business trips.,A38LW34F26WBJY,1.0,1,0
I run my business online,A35TZ4YGDSXSEC,1.0,1,0
Stock prices were mixed after investors faced uncertainty.,A37CSK5QI41636,1.0,2,0
It is time to close the doors on this business. ,ACIWLS3IQPV1J,2.0,1,0
My mom was doing taxes as I watched tv.,A1N274L13ZKKI5,1.0,2,0
This business is profitable every year.,A3NG205QJ48IM4,1.0,1,0
My cousin got degree in Business.,A2I6YPPQK6BU09,1.0,1,0
This business is failing fast. ,A1H4MYPDJ2K3VI,2.0,1,0
Salaries were reduced by the CEO.,A15B294KHVGPFV,1.0,2,1
I really hate Apple,A3774HPOUKYTX7,1.0,1,0
They are growing the business.,ARTARDCXLJ5H6,2.0,2,0
The DOW is up.,A2RCUR9HJ9D0UQ,1.0,2,0
I studied business in college.,AO9AKYPPGGGZ4,2.0,1,0
I am an important business man,ADIW4L4IGU98R,1.0,1,0
My daily activity involves running my own business.,A34IZFOSHOZ4GN,1.0,1,0
I invested ton of money in stocks. ,A11ILN5YSUDVG8,1.0,1,0
The presentation from today meeting was developed by the business manager.,A13CFYL1AW272Y,1.0,2,1
The corporation as whole was damaged significantly by the CEO scandal.,AAFM5PPF9P0W,1.0,2,1
I enjoy working here. ,A20P819KPQWCK0,1.0,1,0
The CEO opinion was not heard by the board.,A2OKJSKQFMCZTP,1.0,2,1
I own my own business.,AM0FRMVODTMXA,1.0,1,0
I am going to business meeting in one hour. ,A2WSYQ5TS09U1,1.0,1,0
I am activating my bank account today.,A1FAQI8VXLAMBM,2.0,1,0
Businesses are very important for the market.,A3C9B757QTE20C,2.0,1,0
Business is conducted within the hours of 0900-1700,AK70USZXEJSF3,2.0,2,1
My business is very important.,A3BWZ6V34W8SXX,2.0,1,0
Comic shops were more viable business before the pandemic. ,A3U6RDG7BLH6YZ,2.0,1,0
Today business world is suffering because of the pandemic.,A2HUWXLMG214BI,2.0,2,0
The bakery was happy with all of it satisfied customers.,A16DIQCMNWPBAN,2.0,2,0
I think his business is pretty successful. ,A357ADRGNGMMKC,1.0,1,0
Their business is secret.,A3V2HVY764HJS4,2.0,1,0
The business man was sent home because he had fever,A2W5PAZJG6X8Q8,2.0,2,1
In business it is easy to become millionaire.,A118RTS8BOFIH7,1.0,1,0
The contract was not signed by the business.,A31CNXHGR49DJR,1.0,2,1
Business is very volatile,A3OM2ZQ7FUDTIN,1.0,1,0
"We had business to deal with first, then pleasure.",A3PSV85ZUXP9VF,2.0,2,0
I lost all my money from my pizza business,A3G11HOZ5PCWOH,2.0,2,0
Businesses suck the money out of folk wallets. ,A33ELVLU0NX9N9,1.0,1,0
The CEO has an office in an high rise.,A2W434UNNBRS4L,1.0,2,0
I am in the process of purchasing new car.,A2EW08X2I87RXL,2.0,1,0
More than 300 employees of the company were laid off on Friday. ,AHTWQSOY6HTJI,1.0,2,1
That meeting made me feel so nervous.,A16Y5JEB1EF9CY,1.0,2,0
Business is not very fun.,A3M0L33TPD346S,2.0,2,0
The CEO of that company earned very high bonus this year.,AY4KZOUEZ8BAM,1.0,1,0
Business is in the heart of commerce.,A14Z1JSAR9JEON,1.0,2,0
Mind you business and stay outta mines.,A3M2Q7EZCJ85GE,2.0,2,0
His business grew to hugh success over night. ,A36W1PIV68AE5K,2.0,2,0
I would like to receive payment for my private business.,ANR81FZBHHR0F,1.0,1,0
The business closed after their hours of operation.,A2UOOBZQ5L2EL1,2.0,2,0
Keeping his business is what keeps Steve working so hard.,j2wj0096lt,2.0,1,0
WE are skyrocketing ,A3NUGUAMBKYMZY,1.0,1,0
Business has been bad lately.,A33TBDS0UALKW2,1.0,1,0
The company was taken over by its competitor.,A2BT7QVGXJKFKI,1.0,2,1
Amy studies accounting daily and is quite good at it.,A39J8MSTUDVH0D,1.0,1,0
Our business has been slow this year.,A15X9KAJB8M54B,2.0,2,0
Business is the engine of capitalism.,A1CRE2Z623JZ6V,2.0,1,0
The chairman of the board was fired due to lack of sails.,A3H8A6SSZH6MQQ,2.0,2,1
Business was not the prime interest of the family meeting.,A2137K4XEU12TI,1.0,2,0
Leaders of business often give speeches and workshops to teach people new to the workforce.,AMFIHFK9N0OVK,2.0,1,0
I am starting my own business.,A1JAWNX4R60ZZ0,1.0,1,0
I actively invest in the stock market.,A1MPJYJCUAOFOB,1.0,1,0
She was told business is necessary.,A3HT6YYXPBRKN3,2.0,2,1
My business will excel with the right mentors.,A3V9UGWBPDRFSG,1.0,1,0
The shareholders were satisfied with the bosses news about opening new business.,A1ZJ3TU4QJIKLY,2.0,2,1
Business is very well known career field.,A129LL7SYP8EOE,2.0,1,0
The local Chamber of Commerce was founded in 1952.,A2VUF0V7HT51Q3,1.0,2,1
I never got into business.,A3IB7YJHP04OHI,2.0,2,0
The business is doing really well.,A13DHPKBQXN9R7,2.0,1,0
The business world has had to adapt to many changes.,A1B3K5W6NZ03U2,1.0,1,0
The businesses had been opened in 2019.,A29KJK7GPUF3OT,1.0,2,1
The business was in jeopardy.,A26A77APE2SUR5,2.0,2,0
My business is much more successful than most.,A8BSFVAPZBIUS ,1.0,1,0
I am going to get those books done.,A1ADRYNCJIRFOO,1.0,1,0
Those items were sold by the top salesperson in the company.,A1PAN54I7HWSZI,1.0,2,1
They are closing down their business.,AS8JG1LSWTMGY,2.0,2,0
Business will pick-up as more people get their vaccine.,A25D8WXH1F4CG9,1.0,1,0
I lost my business when the economy fell. ,A1TK1M16KJJKEO,1.0,2,0
Len majored in business in university.,A1282WX3YWXM6E,2.0,1,0
I AM GOING TO EAT AT THE LOCAL SUSHI RESTAURANT TONIGHT,A3SUUPLFBSG1T9,1.0,1,0
Business was done as usual.,A2T6EBB0Z6TQZS  ,1.0,2,1
The man made sale that went bad. ,A3G1X3IP2VM4IK,2.0,2,0
She was seeking position as manager in business.,A1KRDCZ1YYBUIZ,1.0,1,0
We were looking at business sites. ,A1X84CLJ7N1PLZ,1.0,2,0
Business has been good.,A141B3S3ZLY8DI,2.0,2,0
The business was filing for bankruptcy.,A1BDJMFP24FBGL,1.0,1,0
the man suceeded greatly at his business,A3F34OE3VQ7W0V,1.0,2,0
A small business was bought out by large company.,A2BQ5JORLYGZMV,2.0,2,1
The business is blooming ,A3ONF400XL2Y9U,1.0,1,0
Our business is stressful.,A2HDZE2L9EX2SY,1.0,1,0
business was shut down,A2EY0J9LOPU3TU,1.0,2,1
The business of marketing is highly profitable.,A20SXG1DHDIDI7,1.0,1,0
The old business had been subsumed by the new merger,A2Y81T0DIFJ866,1.0,2,1
One of my goals is to have my own Business in the near future ,A2MF4QDKE40KVN,1.0,1,0
I own my business for two years,A7Z6P6K85HX54,1.0,2,0
Business is booming.,A2PY9UB56M2PP2,1.0,1,0
The business is under pressure due to the pandemic. ,A2JUTTLDE5LGHH,1.0,2,0
I have an interest in Business,A2F58OOW7K3DD2,1.0,1,0
Monica was driven to the store last night.,A1QW2XUJ7KZCV5,2.0,2,1
I would ve done it differently. ,A3G3TIX6FEMN8R,2.0,2,0
The bath is far too hot for me to bathe.,A2DDPSXH2X96RF,1.0,1,0
Business is going great,A2BZY06YRWGEDL,2.0,1,0
Stocks were sold by the company before the end of the quarter. ,A1C8FN01981A69,2.0,2,1
"When will people return to the office, after COVID-19 ",A2DU76P3SED4T6,2.0,1,0
I will open my own business one day,AYSX5GNO640MZ,1.0,1,0
Jeff and Gary agreed on the merger and shook hands.,A2R30HQXQN76IC,1.0,1,0
A group of businessmen were gathered at the bar.,AMDUEMZUK9GJC,1.0,1,1
Clients were given itemized invoices.,A2WS07SCLNP1GV,1.0,2,1
Many businesses were shut down during the Covid pandemic. ,A3V3LIPOU53GZQ,2.0,2,1
The CEO wanted to gather the employee together.,AQDA6OMC4W5V8,1.0,2,0
The supervisor read the memo and asked the employees questions.,A1K3VCFF62LIO2,2.0,1,0
The business reopened after two months of lockdown.,A2AFAWJX5LTUVN,2.0,1,0
The new information for the banking regulations will be delivered this afternoon.,AW8JVJQNLTXND,2.0,1,1
Investing in the company is lucretive.,A26ZENZ5G8AEGM,1.0,1,0
Lot of economic growth is provided by businesses.,A3Q9H7A8J8GR01,1.0,2,1
The business recognized its error and made retribution. ,A2SULQE4M8C3CM,2.0,2,0
Business influences politicians.,A2LDDDJ4WBKB8Y,1.0,1,0
Companies enjoy making good profit from the businesses they run.,A2VJ27EN5W4MU,1.0,2,0
The man is starting business.,A1SBWRAOJBEFIM,1.0,1,0
BUSSINESS ARE DEVELOP THROUGH A SIMPLE IDEA.,A12JQZP4XVOABB,2.0,2,0
he is busy in business,AE5138F868GYB,1.0,1,0
Business will grow to offset the cost of living.,AY2L2CZ6OKNEA,2.0,1,0
The income was totaled by the Accountant. ,A2S7LNJG767XIU,1.0,2,1
The business dedicates long hours to helping those in need.,A370S3V5OUNP4E,1.0,1,0
He was going to apply there.,A2ZKKOPPN3AX2G,1.0,2,0
I have business in the city.,AH7I3K3OJKA5L,2.0,1,0
Companies merge with other companies.,A5BCSSPC180AG,2.0,2,0
The business will go under very soon.,A1TO9C7AZND1VO,1.0,1,0
I wonder if business is good.,AE0C5U5HZ7WR9,2.0,2,0
The newest business to spring during the Pandemic is Home Delivery.,A1D4RC6K6Y5KAV,2.0,1,0
I started my own business.,A345TDMHP3DQ3G,1.0,1,0
Business was going well,A1U5UPSCURNRAA,2.0,2,0
Business is booming this month ,A18UTX5FD7NPRV,2.0,1,0
CEOS were not given much notice before firing. ,A3T79IEUFBB473,2.0,2,1
The accountant showed his work at the meeting.,A3HKD5JYXYBK5Q,1.0,1,0
Business is questionable these days.,A3MSMV01T3S53S,2.0,1,0
He had his own business for 20 years.,A2JAE9P7FQXU2T,2.0,2,0
I started business recently that is going so great so far ,A23K77HMD9APAJ,1.0,1,0
A business thrives when managed responsibly. ,A322UHGPRL2UWO,2.0,1,0
The shareholders were not satisfied by the CEO explanations,A1EDKVYT9ZCGUH,2.0,2,1
I would mind what you are doing in this meeting.,A3CX8S6Q0QEW8E,1.0,1,0
I had no business doing that.,AYX9OCFWBM939,2.0,2,0
They had good business sales then.,A1HNB2243A2PQH,2.0,2,0
I had never understood many aspects of business.,A1Y38T7IZWJQAE,2.0,2,0
